apm_code,nombre,estado,lifecycle_status,clase_aplicacion,tipo_de_aplicacion,icr_relevant,data_protection_relevant
AP05136,SAP IS-U Brasil,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),true,true
AP05136.01,SAP IS-U Brasil CE - Billing,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),true,true
AP05136.02,SAP IS-U Brasil CE - FICA,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),true,true
AP36636,SAP IS-U Brasil RJ,In Review,Definition,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP05136.04,SAP IS-U Brasil RJ - Billing,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),true,true
AP05136.05,SAP IS-U Brasil RJ - FICA,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf NOT customized),true,false
AP05740,SAP IS-U Chile,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),true,true
AP05740.01,SAP IS-U Chile - Billing,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf NOT customized),false,false
AP05740.02,SAP IS-U Chile - FICA,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf NOT customized),false,false
AP05735,SAP IS-U Colombia,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),true,true
AP05735.01,SAP IS-U Colombia - FICA,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,true
AP05253.01,SAP IS-U Perú Enel Dx (Clientes LIbres),Active,Production,Business Transactional,Custom (developed from the scratch),true,true
AP10671.03,SAP ISU BBDD AAFF,Active,Production,Business Transactional,Custom (developed from the scratch),false,true
AP10671.06,SAP ISU Cálculo,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP10671.13,SAP ISU Contabilidad,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP10671.10,SAP ISU Cuenta cliente,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP10671.08,SAP ISU Edición,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP10671.05,SAP ISU Editran,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP02247,SAP ISU ENEL ENERGIA (ISP),Active,Production,Business Transactional,Custom (developed from the scratch),true,true
AP02247.04,SAP ISU ENEL ENERGIA (ISP)--CRED,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),true,true
AP02247.02,SAP ISU ENEL ENERGIA (ISP)--FATT,Active,Production,Business Transactional,Custom (developed from the scratch),true,true
AP02247.01,SAP ISU ENEL ENERGIA (ISP)--SD,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,true
IT00367,SAP R/3 ENEL SERVIZI (SZP)--FI,Active,Read Only,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP10671.07,SAP ISU Facturación ,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP36346,SAP ISU I&N Europe Format,Active,Validated,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,false
AP04828,SAP ISU I&N Romania (REP),Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),false,true
AP05934,SAP ISU I&N Spain,Active,Production,Business Transactional,COTS (Commercial Off-The-Shelf customized),true,true
AP05934.03,SAP ISU I&N Spain - Editran,Active,Production,Technical infrastructures,COTS (Commercial Off-The-Shelf customized),false,true
